# Experiment: OpenBCISession_2025-11-03_16-09-29
# Original file: OpenBCI-RAW-2025-11-03_16-53-41.txt
# Duration: 1.3 minutes
# Sample rate: 200 Hz
# Sample count: 15419
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
47.0,291.3569060480222,-43.73812998179346,262.28666369244456,24.455205810256302,2025-11-03 21:53:55.128346920
47.0,303.35076520591974,-16.896867999807,294.12443201523274,52.78868787456304,2025-11-03 21:53:55.128346920
48.0,216.34573263674974,-104.18987286556512,199.86399353202432,-38.3152750460431,2025-11-03 21:53:55.128972054
48.0,237.17323548998684,-88.65806834958494,216.9515964295715,-25.70433239545673,2025-11-03 21:53:55.128972054
49.0,340.6824465636164,10.48293957579881,318.72175402380526,75.63573670387268,2025-11-03 21:53:55.142623901
49.0,239.12920316681266,-76.45851469412446,221.09914548043162,-18.718199278227985,2025-11-03 21:53:55.142623901
50.0,203.59267378784716,-114.77378974016756,188.84624826256186,-52.968203072436154,2025-11-03 21:53:55.158219099
50.0,327.7012538174167,-7.330203913152218,303.2535278070718,57.26160822156817,2025-11-03 21:53:55.158219099
51.0,277.22382411547005,-32.2005386184901,271.3559210849926,33.37112730462104,2025-11-03 21:53:55.158917665
51.0,209.6176526164636,-99.81792981736362,207.99453603569418,-36.13117347192019,2025-11-03 21:53:55.158917665
52.0,280.63461287505925,-44.32529427483678,264.8335355622694,18.57608307991177,2025-11-03 21:53:55.172538519
52.0,292.57237353362143,-23.70348591916263,283.37969944253564,40.428318521007895,2025-11-03 21:53:55.172538519
53.0,204.97269687149674,-97.77968434151262,206.19938405696303,-25.622054596431553,2025-11-03 21:53:55.188187122
53.0,232.94340864010155,-79.78328575473279,221.57411277480423,-20.16554056107998,2025-11-03 21:53:55.188187122
54.0,320.73008030001074,-5.041385140269995,309.35704453475773,63.67179674562067,2025-11-03 21:53:55.188910246
54.0,199.0935741411522,-112.42887246794999,193.35656760912389,-52.23892258107662,2025-11-03 21:53:55.188910246
55.0,184.7510578110814,-132.04464773554355,168.1571217076853,-78.6650556679815,2025-11-03 21:53:55.202526808
55.0,314.5555054731667,-10.531558275222778,294.5470407102257,52.915844473056495,2025-11-03 21:53:55.202526808
56.0,243.05235822033137,-69.23676787968725,235.75207350682467,-6.9001154182478786,2025-11-03 21:53:55.218220711
56.0,185.6074949009344,-125.44372431375086,173.2658250471577,-65.10791832860559,2025-11-03 21:53:55.218220711
57.0,258.35976873897016,-75.49736040551215,231.56712545640767,-12.438907252624631,2025-11-03 21:53:55.218921900
57.0,270.3050091974437,-45.77637545764446,258.868395132944,17.502731792628765,2025-11-03 21:53:55.218921900
58.0,189.34365495666862,-111.87162737455219,186.29563649278134,-57.49348201882094,2025-11-03 21:53:55.233085871
58.0,233.8522043293342,-81.78787213098258,222.8419388597831,-2.329957672394812,2025-11-03 21:53:55.233085871
59.0,317.7792992349714,-5.550011534243822,304.79810648877174,55.8030472388491,2025-11-03 21:53:55.248238802
59.0,181.70303934719414,-127.56798748858273,178.03045759070665,-61.405417372472584,2025-11-03 21:53:55.248238802
60.0,181.50856454949826,-132.14562503434718,167.86540951114148,-73.8854635246098,2025-11-03 21:53:55.248933792
60.0,299.1059787562117,-27.548103073611856,282.7177371503785,40.26002302300185,2025-11-03 21:53:55.248933792
61.0,215.79596734326333,-92.96643309853971,216.08767953980714,-23.452912622131407,2025-11-03 21:53:55.262516737
61.0,182.14434754196554,-120.51827607210726,181.18693315330893,-47.17509804107249,2025-11-03 21:53:55.262516737
62.0,266.05648284778,-56.087279635481536,251.12680222466588,17.24093879573047,2025-11-03 21:53:55.278193951
62.0,281.41251206584275,-37.608433954417706,268.0161904245615,15.344809518195689,2025-11-03 21:53:55.278193951
63.0,199.6844783341512,-105.04630995541811,196.19141177553684,-42.002816402353346,2025-11-03 21:53:55.278928041
63.0,232.93218894023448,-83.49700641073287,221.79102697223425,-16.96418619900942,2025-11-03 21:53:55.278928041
64.0,321.65757548902184,3.4407079592347145,309.6001380318776,60.70979598071426,2025-11-03 21:53:55.293184280
64.0,209.8757057134062,-96.10794906131923,203.6525121871382,-36.478984167799354,2025-11-03 21:53:55.293184280
65.0,198.48023054841906,-110.89551348611712,188.93600586149842,-47.56030773650855,2025-11-03 21:53:55.308184624
65.0,322.0427851844579,-5.426594835706055,309.86193102877587,72.34088484290987,2025-11-03 21:53:55.308184624
66.0,245.8984220866114,-60.87809147872031,240.7784990472719,-11.107502868399024,2025-11-03 21:53:55.308927298
66.0,195.33497468568385,-110.91795288585126,194.8375679915771,-49.37415921501815,2025-11-03 21:53:55.308927298
67.0,277.03682911768556,-46.9843631433323,265.85078835021704,21.597922244109213,2025-11-03 21:53:55.322561026
67.0,280.2045243801549,-35.73848397657275,272.26097687426955,33.53194300271571,2025-11-03 21:53:55.322561026
68.0,184.26113091688603,-126.92098479624838,169.0397380972281,-78.96798756439239,2025-11-03 21:53:55.338203907
68.0,226.9595687109977,-86.64600217342377,210.20107700955123,-31.32914192881435,2025-11-03 21:53:55.338203907
69.0,319.6305497130379,4.981546740978956,316.0851245550439,73.53017302881926,2025-11-03 21:53:55.338891506
69.0,205.657098563388,-100.97729880362749,200.29034212697297,-42.040215401910245,2025-11-03 21:53:55.338891506
70.0,200.37635982595384,-111.69585207663476,185.02407050784677,-52.58673327695578,2025-11-03 21:53:55.352526188
70.0,304.7756670890376,-25.73799149505794,281.2816155673936,30.008957244455814,2025-11-03 21:53:55.352526188
71.0,234.8844167171046,-79.26717956084758,221.0318272812292,-24.055036514997482,2025-11-03 21:53:55.368175268
71.0,186.24327789340168,-126.10194670595229,175.7453787177801,-58.162924110889435,2025-11-03 21:53:55.368175268
72.0,282.6952977506444,-38.51722964365035,266.99893763661385,25.554736397229135,2025-11-03 21:53:55.368884325
72.0,306.5147205684334,-10.254805678501725,294.001015316695,53.00934197194874,2025-11-03 21:53:55.368884325
73.0,195.96701777819544,-115.33477473352104,187.87387427408248,-44.3926124740392,2025-11-03 21:53:55.382768869
73.0,217.4003844242543,-100.13582131359726,208.81731402594596,-24.98627160396427,2025-11-03 21:53:55.382768869
74.0,321.5902572898194,-4.256006149575114,309.20744853653014,65.41085022501647,2025-11-03 21:53:55.398272038
74.0,215.18262375053018,-94.29409758280963,208.05063453502953,-32.94851860962808,2025-11-03 21:53:55.398272038
75.0,189.50447065476328,-120.56689477153122,177.8621620927006,-63.843832143582404,2025-11-03 21:53:55.398914576
75.0,316.12626345455647,-12.117275856435299,297.1874100789428,51.17679099366069,2025-11-03 21:53:55.398914576
76.0,230.0337664745748,-79.52897255774587,224.97368183452636,-11.26831856649369,2025-11-03 21:53:55.412523985
76.0,194.95350489020348,-113.28156965784729,188.58819516561925,-46.427118049934506,2025-11-03 21:53:55.412523985
77.0,274.3852400491014,-52.889665173366666,257.9072408443317,16.87068870011717,2025-11-03 21:53:55.428188801
77.0,275.9372985307127,-43.56235468387604,259.51913772523403,25.132127702236176,2025-11-03 21:53:55.428188801
78.0,192.2383375223726,-121.3522737622261,180.7942436579615,-59.99547508917749,2025-11-03 21:53:55.428902864
78.0,227.09420510940254,-87.65577516146004,221.00564798153937,-17.401754493825138,2025-11-03 21:53:55.428902864
79.0,333.47939924895763,12.240692554973066,321.91188868600875,73.79570592567325,2025-11-03 21:53:55.442640305
79.0,214.24390886165202,-92.92529419902712,205.56360106449574,-36.26206997036934,2025-11-03 21:53:55.442640305
80.0,187.39142717979848,-122.74725644569844,175.6369216190651,-57.88991141412407,2025-11-03 21:53:55.458213568
80.0,318.5983373252675,-10.927987670525908,301.00584793370217,55.82922653853893,2025-11-03 21:53:55.458213568
81.0,242.5586914261803,-72.94300873577595,232.91722934041172,-7.711673708632588,2025-11-03 21:53:55.458882332
81.0,169.0846168966964,-141.52903402317315,160.61000359710306,-77.9282953767106,2025-11-03 21:53:55.458882332
82.0,259.92678682040423,-62.4750287597999,241.72469373606145,-3.8408772544935346,2025-11-03 21:53:55.472531080
82.0,289.3560595717281,-29.7546440474689,278.14383950456977,40.66019231826067,2025-11-03 21:53:55.472531080
83.0,184.63138101249933,-117.2757828105241,186.21335869375616,-44.067241177894175,2025-11-03 21:53:55.488297939
83.0,236.87030359357595,-80.23955354932696,228.24235439579934,-3.859576754271984,2025-11-03 21:53:55.488297939
84.0,337.32775630336255,7.446140811778605,317.49506683833897,67.51641390006989,2025-11-03 21:53:55.488908291
84.0,203.94048448372632,-108.21026531793177,190.9405922377482,-41.59142740722746,2025-11-03 21:53:55.488908291
85.0,190.29358954541385,-127.51562888920307,175.80521711707115,-55.51507494226098,2025-11-03 21:53:55.502511263
85.0,295.63535159733146,-30.22961134184152,280.51493607647717,41.0940207131207,2025-11-03 21:53:55.502511263
